200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
Belgium_Liege,Liège Province,Льеж,Province de Liège,Liège,Liège,리에주 주,Liège,Liège,Льєж,Liège,Liège,Provinz Lüttich,Liègen pronssi,Lutych,provincia di Liegi,Liège,列日省,列日省,มณฑลลีแยฌ,リエージュ州,Liège,لياج,Lutyšsko,Provincia de Lieja,Prowincja Liège,Provincie Luik,Liège,
Belgium_Limburg,Limburg Province,Лимбург,Limbourg,Limburg,Provinsi Limburg,림뷔르흐 주,Limburg,Limburg,Лімбург,Limburg,Limburg,Limburg,Limburgin lääni,Limburk,Limburgo,Limburg,林堡省,林堡省,มณฑลลิมเบิร์ก,リンブルフ州,Limburg,ليمبورغ,Limbursko,Limburgo,Prowincja Limburgia,Limburg,Limburgo,
Belgium_Luxembourg,Luxembourg Province,Люксембург,Province de Luxembourg,Luxembourg,Luksemburg,뤽상부르 주,Luxemburg,"Lüksemburg, Belçika",Люксембург,Luxembourg,Luxembourg,Provinz Luxemburg,Luxembourgin lääni,Lucemburk,provincia del Lussemburgo,Luxembourg,盧森堡省,卢森堡省,มณฑลลักเซมเบิร์ก,リュクサンブール州,Luxemburg,لوكسمبورغ,Luxembourg (provincia),Provincia de Luxemburgo,Prowincja Luksemburg,Provincie Luxemburg,Luxemburgo,
Belgium_Namur,Namur Province,Намюр,Province de Namur,Namur,Provinsi Namur,나무르 주,Namur,Namur,Намюр,Namur,Namur,Provinz Namur,Namurin lääni,Namur,provincia di Namur,Namur,那慕爾省,那慕尔省,มณฑลนามูร์,ナミュール州,Namur,نامور,Namursko,Provincia de Namur,Prowincja Namur,Provincie Namen,Namur,
Belgium_Walloon Brabant,Walloon Brabant Province,Валлонский Брабант,Brabant wallon,Brabant Wallon,Brabant Walonia,브라방왈롱 주,Vallonska Brabant,Valon Brabant,Валлонський Брабант,Walloon Brabant,Vallon-Brabant,Provinz Wallonisch-Brabant,Vallonian Brabant,Valonský Brabant,provincia del Brabante Vallone,Vallonsk Brabant,瓦隆-布拉班特省,瓦隆-布拉班特省,มณฑลวัลลูนบราบันต์,ブラバン・ワロン州,Brabantul Valon,برابانت والون,Valónsky Brabant,Provincia del Brabante Valón,Prowincja Brabancja Walońska,Waals-Brabant,Brabante Valão,
Belgium_West Flanders,West Flanders Province,Западная Фландрия,Province de Flandre-Occidentale,Vestflandern,Flandria Barat,베스트플란데런 주,Västflandern,Batı Flandre,Західна Фландрія,West-Vlaanderen,Nyugat-Flandria,Provinz Westflandern,Länsi-Flanderi,Západní Flandry,provincia delle Fiandre Occidentali,Vest-Flandern,西弗蘭德省,西弗兰德省,จังหวัดฟลานเดอร์ตะวันตก,ウェスト＝フランデレン州,Flandra de Vest,فلاندر الغربية,Západné Flámsko,Provincia de Flandes Occidental,Prowincja Flandria Zachodnia,West-Vlaanderen,Flandres Ocidental,
Belize,Belize,Белиз,Belize,Belize,Belize,벨리즈,Belize,Belize,Беліз,Belize,Belize,Belize,Belize,Belize,Belize,Belize,伯利茲,伯利兹,ประเทศเบลีซ,ベリーズ,Belize,بليز,Belize,Belice,Belize,Belize,Belize,בליז
Benin,Benin,Бенин,Bénin,Benin,Benin,베냉,Benin,Benin,Бенін,Bénin,Benin,Benin,Benin,Benin,Benin,Benin,貝寧,贝宁,ประเทศเบนิน,ベナン,Benin,بنين,Benin,Benín,Benin,Benin,Benim,בנין
Bermuda,Bermuda,Бермудские острова,Bermudes,Bermuda,Bermuda,버뮤다,Bermuda,Bermuda,Бермудські острови,Bermuda,Bermuda,Bermuda,Bermuda,Bermudy,Bermuda,Bermuda,百慕大,百慕大,เบอร์มิวดา,バミューダ諸島,Insulele Bermude,جزر برمودا,Bermudy,Bermudas,Bermudy,Bermuda,Bermudas,ברמודה
Bhutan,Bhutan,Бутан,Bhoutan,Bhutan,Bhutan,부탄,Bhutan,Bhutan,Бутан,Bhutan,Bhután,Bhutan,Bhutan,Bhútán,Bhutan,Bhutan,不丹,不丹,ประเทศภูฏาน,ブータン,Bhutan,بوتان,Bhután,Bután,Bhutan,Bhutan,Butão,בהוטן
Bolivia,Bolivia,Боливия,Bolivie,Bolivia,Bolivia,볼리비아,Bolivia,Bolivya,Болівія,Bolivia,Bolívia,Bolivien,Bolivia,Bolívie,Bolivia,Bolivia,玻利維亞,玻利维亚,ประเทศโบลิเวีย,ボリビア,Bolivia,بوليفيا,Bolívia,Bolivia,Boliwia,Bolivia,Bolívia,בוליביה
Bosnia and Herzegovina,Bosnia and Herzegovina,Босния и Герцеговина,Bosnie-Herzégovine,Bosnien-Hercegovina,Bosnia dan Herzegovina,보스니아 헤르체고비나,Bosnien och Hercegovina,Bosna-Hersek,Боснія і Герцеговина,Bosna và Hercegovina,Bosznia-Hercegovina,Bosnien und Herzegowina,Bosnia ja Hertsegovina,Bosna a Hercegovina,Bosnia ed Erzegovina,Bosnia-Hercegovina,波斯尼亞和黑塞哥維那,波斯尼亚和黑塞哥维那,ประเทศบอสเนียและเฮอร์เซโกวีนา,ボスニア・ヘルツェゴビナ,Bosnia și Herțegovina,البوسنة والهرسك,Bosna a Hercegovina,Bosnia y Herzegovina,Bośnia i Hercegowina,Bosnië en Herzegovina,Bósnia e Herzegovina,בוסניה והרצגובינה
Bosnia and Herzegovina_Brcko district of Bosnia and Herzegowina,Brčko District,Округ Брчко,District de Brčko,Brčko,Distrik Brčko,브르치코 행정구,Brčko,Brçko Bölgesi,Округ Брчко,Quận Brčko,Brčkói Körzet,Distrikt Brčko,Brčkon alue,Brčko,Distretto di Brčko,Brčko-distriktet,布爾奇科特區,布尔奇科特区,เขตเบิตช์โค,ブルチコ行政区,Districtul Brčko,مقاطعة بركو,Dištrikt Brčko,Distrito de Brčko,Dystrykt Brczko,Brčko,Distrito de Brčko,מחוז ברצ'קו
Bosnia and Herzegovina_Entity Federation of Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Федерация Боснии и Герцеговины,Fédération de Bosnie-et-Herzégovine,Føderationen Bosnien og Hercegovina,Federasi Bosnia dan Herzegovina,보스니아 헤르체고비나 연방,Federationen Bosnien och Hercegovina,Bosna-Hersek Federasyonu,Федерація Боснія і Герцеговина,Liên bang Bosne và Hercegovine,Bosznia-hercegovinai Föderáció,Föderation Bosnien und Herzegowina,Bosnia ja Hertsegovinan federaatio,Federace Bosny a Hercegoviny,Federazione di Bosnia ed Erzegovina,Føderasjonen av Bosnia og Hercegovina,波士尼亞與赫塞哥維納聯邦,波士尼亚与赫塞哥维纳联邦,สหพันธรัฐบอสเนียและเฮอร์เซโกวีนา,ボスニア・ヘルツェゴビナ連邦,Federația Bosniei și Herțegovinei,اتحاد البوسنة والهرسك,Federácia Bosna a Hercegovina,Federación de Bosnia y Herzegovina,Federacja Bośni i Hercegowiny,Federatie van Bosnië en Herzegovina,Federação da Bósnia e Herzegovina,הפדרציה של בוסניה והרצגובינה
Bosnia and Herzegovina_Republic of Srpska,Republika Srpska,Республика Сербская,République serbe de Bosnie,Republika Srpska,Republik Srpska,스릅스카 공화국,Republika Srpska,Sırp Cumhuriyeti,Республіка Сербська,Cộng hòa Srpska,Boszniai Szerb Köztársaság,Republika Srpska,Serbitasavalta,Republika srbská,Repubblica Serba di Bosnia ed Erzegovina,Republika Srpska,塞族共和國,塞族共和国,สาธารณรัฐเซิร์ปสกา,スルプスカ共和国,Republika Srpska,جمهورية صرب البوسنة,Republika srbská,República Srpska,Republika Serbska,Servische Republiek,República Sérvia,רפובליקה סרפסקה
Botswana,Botswana,Ботсвана,Botswana,Botswana,Botswana,보츠와나,Botswana,Botsvana,Ботсвана,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,波札那,波札那,ประเทศบอตสวานา,ボツワナ,Botswana,بوتسوانا,Botswana,Botsuana,Botswana,Botswana,Botsuana,בוטסואנה
Brazil,Brazil,Бразилия,Brésil,Brasilien,Brasil,브라질,Brasilien,Brezilya,Бразилія,Brasil,Brazília,Brasilien,Brasilia,Brazílie,Brasile,Brasil,巴西,巴西,ประเทศบราซิล,ブラジル,Brazilia,البرازيل,Brazília,Brasil,Brazylia,Brazilië,Brasil,ברזיל
Brazil_Bahia,Bahia,Баия,Bahia,Bahia,Bahia,바이아 주,Bahia,Bahia,Баїя,Bahia,Bahia,Bahia,Bahia,Bahia,Bahia,Bahia,巴伊亞,巴伊亚,รัฐบาเยีย,バイーア州,Bahia,باهيا,Bahia,Bahía,Bahia,Bahia,Bahia,באהיה
Brazil_Goias,Goiás,Гояс,Goiás,Goiás,Goiás,고이아스 주,Goiás,Goiás,Гояс,Goiás,Goiás,Goiás,Goiás,Goiás,Goiás,Goiás,戈亞斯,戈亚斯,รัฐโกยาส,ゴイアス州,Goiás,غوياس,Goiás,Goiás,Goiás,Goiás,Goiás,גויאס
Brazil_Mato Grosso,Mato Grosso,Мату-Гросу,Mato Grosso,Mato Grosso,Mato Grosso,마투그로수 주,Mato Grosso,Mato Grosso,Мату-Гросу,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,馬托格羅索州,马托格罗索州,รัฐมาตูโกรสซู,マットグロッソ州,Mato Grosso,ماتو غروسو,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,מאטו גרוסו
Brazil_Mato Grosso Do Sul,Mato Grosso do Sul,Мату-Гросу-ду-Сул,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,마투그로수두술 주,Mato Grosso do Sul,Mato Grosso do Sul,Мату-Гросу-ду-Сул,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,南馬托格羅索州,南马托格罗索州,รัฐมาตูโกรสซูโดซูล,マットグロッソ・ド・スル州,Mato Grosso do Sul,ماتو غروسو دو سول,Mato Grosso do Sul,Mato Grosso del Sur,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,מאטו גרוסו דו סול
Brazil_North Region,"North Region, Brazil",Северный регион,Région Nord,Norte,"Wilayah Utara, Brasil",노르치 지방,"Norra regionen, Brasilien","Kuzey Bölgesi, Brezilya",Північний регіон Бразилії,North Region,Brazília északi régiója,Norden,Pohjoinen alue,Severní region,Regione Nord del Brasile,Norte,巴西北部,巴西北部,ภูมิภาคเหนือ บราซิล,ブラジル北部,"Regiunea de Nord, Brazilia",المنطقة الشمالية – البرازيل,"Severný región, Brazília",Región Norte de Brasil,Region Północny,Regio Noord,Região Norte do Brasil,האזור הצפוני (ברזיל)
Brazil_Northeast Region,Northeast Region,Северо-восточный регион,Nordeste,Nordeste,Wilayah Timur Laut,노르제스치 지방,Nordöstra regionen,Kuzeydoğu Bölgesi,Північно-східний регіон Бразилії,Northeast Region,Észak-keleti régió,Nordosten,Koillinen alue,Severovýchodní region,Regione Nordest del Brasile,Nordeste,巴西東北部,巴西东北部,ภูมิภาคตะวันออกเฉียงเหนือ,北東部,Regiunea de Nord-Est,منطقة شمال الشرق,Severovýchodný región,Región Nordeste de Brasil,Region północno-wschodni,Regio Noordoost,Região Nordeste do Brasil,צפון-מזרח ברזיל
Brazil_Paraiba,Paraíba,Параиба,Paraíba,Paraíba,Paraíba,파라이바 주,Paraíba,Paraíba,Параїба,Paraíba,Paraíba ,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,帕拉伊巴,帕拉伊巴,รัฐปาราอีบา,パライバ州,Paraíba,بارايبا,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,פאראיבה
Brazil_Parana,Paraná,Парана,Paraná,Paraná,Paraná,파라나 주,Paraná,Paraná,Парана,Paraná,Paraná,Paraná,Paraná,Paraná,Paraná,Paraná,巴拉那州,巴拉那州,รัฐปารานา,パラナ州,Paraná,بارانا,Paraná,Paraná,Parana,Paraná,Paraná,פרנה
Brazil_Rio Grande do Norte,Rio Grande do Norte,Риу-Гранди-ду-Норти,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,히우그란지두노르치 주,Rio Grande do Norte,Rio Grande do Norte,Ріу-Гранді-ду-Норті,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,北里約格朗德,北里约格朗德,รัฐรีโอกรันดีโดนอร์เต,リオグランデ・ド・ノルテ州,Rio Grande do Norte,ريو غراندي دو نورتي,Rio Grande do Norte,Río Grande del Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,ריו גראנדה דו נורטה
Brazil_Santa Catarina,Santa Catarina,Санта-Катарина,Santa Catarina,Santa Catarina,Santa Catarina,산타카타리나 주,Santa Catarina,Santa Catarina,Санта-Катаріна,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,聖卡塔琳娜州,圣卡塔琳娜州,รัฐซันตากาตารีนา,サンタカタリーナ州,Santa Catarina,سانتا كاتارينا,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,סנטה קטרינה
Brazil_South Region,Southern Brazil,Южный регион,Région Sud,Sul,Brasil Bagian Selatan,술 지방,Södra Brasilien,Güney Brezilya,Південний регіон Бразилії,Southern Brazil,Dél-Brazília,Süden,Eteläinen alue,Jižní region,Regione Sud del Brasile,Sul,巴西南部,巴西南部,บราซิลใต้,ブラジル南部,Brazilia de Sud,جنوب البرازيل,Južná Brazília,Región Sur de Brasil,Brazylia Południowa,Regio Zuid,Região Sul do Brasil,דרום ברזיל
Brazil_Southeast Region_Espirito Santo,Espírito Santo,Эспириту-Санту,Espírito Santo,Espírito Santo,Espírito Santo,이스피리투산투 주,Espírito Santo,Espírito Santo,Еспіріту-Санту,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,聖埃斯皮里圖州,圣埃斯皮里图州,รัฐเอสปีรีตูซานตู,エスピリトサント州,Espírito Santo,إسبيريتو سانتو,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,אספיריטו סאנטו
Brazil_Southeast Region_Minas Gerais_Contagem,Minas Gerais — Contagem,Минас-Жерайс — Контажен,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,미나스제라이스 주 — 콘타젱,Minas Gerais — Contagem,Minas Gerais — Contagem,Мінас Жерайс — Контажен,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,米納斯吉拉斯 — 孔塔任,米纳斯吉拉斯 — 孔塔任,มีนัสเชไรส์ — คอนทาเจม,ミナスジェライス州・コンタジェン,Minas Gerais — Contagem,كونتاجيم -ميناس جيرايس,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,Minas Gerais — Contagem,
Brazil_Southeast Region_Minas Gerais_North,Minas Gerais — North,Минас-Жерайс — Север,Minas Gerais — Nord,Minas Gerais — Nord,Minas Gerais — Utara,미나스제라이스 주 — 북,Minas Gerais — Nord,Minas Gerais — Kuzey,Мінас-Жерайс — Північ,Minas Gerais — Bắc,Minas Gerais — Észak,Minas Gerais — Norden,Minas Gerais — Pohjoinen,Minas Gerais — Sever,Minas Gerais — Nord,Minas Gerais — Nord,米納斯吉拉斯 - 北部,米纳斯吉拉斯 - 北部,รัฐมีนัสเชไรส์ — เหนือ,ミナスジェライス州・北部,Minas Gerais — Nord,ميناس جيرايس — شمال,Minas Gerais — Sever,Minas Gerais — Norte,Minas Gerais — Północ,Minas Gerais — Noord,Minas Gerais — Norte,מינאס ז'ראיס — צָפוֹן
Brazil_Southeast Region_Rio de Janeiro,Rio de Janeiro,Рио-де-Жанейро,État de Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,리우데자네이루 주,Rio de Janeiro,Rio de Janeiro,Ріо-де-Жанейро,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,里約熱內盧州,里约热内卢州,รัฐรีโอเดจาเนโร,リオデジャネイロ州,Rio de Janeiro,ريو دي جانيرو,Rio de Janeiro,Río de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,ריו דה ז'ניירו
Brazil_Southeast Region_Sao Paulo_Campinas,São Paulo — Campinas,Сан-Паулу — Кампинас,État de São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,상파울루 주 — 캄피나스,São Paulo — Campinas,São Paulo — Campinas,Сан-Паулу — Кампінас,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,San Paolo — Campinas,São Paulo — Campinas,聖保羅州 — 坎皮納斯,圣保罗州 — 坎皮纳斯,ซาวเปาโล — แคมปินาส,サンパウロ州・カンピーナス,São Paulo — Campinas,ساو باولو — كامبينيس,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,São Paulo — Campinas,סאו פאולו — קמפינאס
Brazil_Southeast Region_Sao Paulo_City,São Paulo — Santos,Сан-Паулу — Сантус,État de São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,상파울루 주 — 산투스,"São Paulo — Santos, São Paulo",São Paulo — Santos,Сан-Паулу — Сантус,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,San Paolo — Santos,São Paulo — Santos,聖保羅州 — 桑托斯,圣保罗州 — 桑托斯,รัฐเซาเปาลู — ซังตูส,サンパウロ州・サントス,"São Paulo — Santos, São Paulo",ساو باولو — سانتوس,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,São Paulo — Santos,סאו פאולו — סנטוס
